Cluster_Names,Probabilities
A1,0.8125
A2,0.116071428571429
A3,0.0714285714285714
D1,0.508928571428571
D2,0.330357142857143
D3,0.160714285714286
G1,0.695121951219512
G2,0.109756097560976
G3,0
G4,0.195121951219512
M1,0
M2,0.638888888888889
M3,0
M4,0.361111111111111
