clusterLabels,clusterX,clusterY
aladdin 01-14-2022.mat,-4.48991233000058,-6.74459409614399
aladdin 01-21-2022.mat,-5.00826171247193,-6.78565396259657
aladdin 03-21-2022.mat,-5.27128652271323,-6.62407507082917
aladdin 03-23-2022.mat,-4.2915324569262,-5.84844551824676
aladdin 04-06-2022.mat,-4.99685603905656,-6.67849212109138
aladdin 04-16-2022.mat,-6.97890319997103,-8.13182451484447
aladdin 04-22-2022.mat,-4.86599538178241,-6.37773585104556
aladdin 04-28-2022.mat,-5.26246803709133,-7.93926018135192
aladdin 05-13-2022.mat,-4.72790311917372,-7.39149193507826
aladdin 05-16-2022.mat,-5.2852137619849,-7.70043012776728
aladdin 05-17-2022.mat,-6.93751732030129,-8.10658820482045
aladdin 11-29-2021.mat,-5.19916694285392,-6.74321124078396
aladdin 12-02-2021.mat,-5.49343333819537,-7.29203047851091
aladdin 12-08-2021.mat,-5.1298307268026,-7.38134036888703
aladdin 12-15-2021.mat,-5.16166566627651,-7.66944691733291
alexis 01-13-2022.mat,-11.2462114419973,-12.8945534580605
alexis 01-24-2022.mat,-5.37412965264237,-7.09304397436159
alexis 01-28-2022.mat,-5.6367501741691,-8.41600228523508
alexis 04-08-2022.mat,-5.176181561905,-6.78551159547056
alexis 04-16-2022.mat,-5.11729728295246,-7.39069372453928
alexis 04-22-2022.mat,-5.246864416496,-6.78983517376144
alexis 04-26-2022.mat,-5.03062759779124,-7.27918405954251
alexis 04-27-2022.mat,-5.55443211201974,-7.39856611925945
alexis 05-04-2022.mat,-5.17808161803294,-7.66923352000545
alexis 05-09-2022.mat,-4.30267776376401,-6.06936163659718
alexis 05-10-2022.mat,-4.88206127559114,-7.59969541803842
alexis 05-12-2022.mat,-4.42050518460996,-6.07529572470103
alexis 05-13-2022.mat,-4.60511308359633,-6.48516173988383
alexis 05-16-2022.mat,-4.86219131209408,-7.13662871061985
alexis 05-17-2022.mat,-4.86219131209408,-7.13662871061985
alexis 05-18-2022.mat,-4.94087573579962,-7.34606216988904
alexis 12-09-2021.mat,-5.42887481207921,-6.79772340583664
andrea 01-24-2022.mat,-5.09812047979709,-7.58574606486845
andrea 01-26-2022.mat,-5.27235375849389,-7.06436237925772
andrea 01-28-2022.mat,-6.41824636314429,-8.88110964668715
andrea 03-11-2022.mat,-4.9628409367983,-6.67079750220909
andrea 03-22-2022.mat,-4.67806097454233,-7.25863073606896
andrea 03-24-2022.mat,-4.73396501887001,-6.38179794505166
andrea 04-06-2022.mat,-5.06005079674027,-6.82810946629587
andrea 04-07-2022.mat,-4.60190384278901,-6.62451642679796
andrea 04-11-2022.mat,-4.90083250581489,-8.74965226062182
andrea 04-12-2022.mat,-4.28747207278845,-5.79304941847776
andrea 04-14-2022.mat,-4.72433014983224,-6.92844609998414
andrea 04-15-2022.mat,-4.91478381327098,-7.18974912720819
andrea 04-29-2022.mat,-5.12219196125166,-6.60385413815207
andrea 05-04-2022.mat,-5.16803362751443,-6.79546861116756
andrea 05-11-2022.mat,-4.09236912336845,-5.62853314484152
andrea 05-16-2022.mat,-4.09236912336845,-5.62853314484152
andrea 05-17-2022.mat,-4.09236912336845,-5.62853314484152
andrea 11-10-2021.mat,-4.95630294341548,-6.21013350615431
andrea 11-24-2021.mat,-4.50381089804338,-6.93203234969494
carl 01-07-2022.mat,-4.9419563369607,-7.51655978265482
carl 01-14-2022.mat,-4.9419563369607,-7.51655978265482
carl 01-21-2022.mat,-4.53962211195022,-7.25819865878869
carl 01-25-2022.mat,-4.53962211195022,-7.25819865878869
carl 04-08-2022.mat,-4.58478700940394,-7.34309142352462
carl 04-14-2022.mat,-6.22552064572271,-7.58813327706652
carl 04-15-2022.mat,-6.81251757886063,-8.57041441294597
carl 04-19-2022.mat,-4.97441887396501,-7.89336578548922
carl 04-21-2022.mat,-3.66915150348945,-5.99440921757321
carl 04-22-2022.mat,-5.18008568079329,-7.48372520798819
carl 05-02-2022.mat,-4.62825669704448,-6.36408048237584
carl 05-04-2022.mat,-4.7472138407199,-7.4409203394857
carl 05-05-2022.mat,-4.69292578665266,-6.7854520519138
carl 05-09-2022.mat,-4.69292578665266,-6.7854520519138
carl 05-11-2022.mat,-4.90621043454603,-6.98828064752708
carl 05-16-2022.mat,-4.79497568889918,-7.24749088573834
carl 05-19-2022.mat,-4.79497568889918,-7.24749088573834
fiona 01-06-2022.mat,-4.76330226549265,-7.26217881623982
fiona 01-25-2022.mat,-4.8216503677994,-7.6344344202518
fiona 01-26-2022.mat,-5.54094474217779,-7.20750404282636
fiona 02-15-2022.mat,-5.48193323071135,-7.81285372518587
fiona 02-17-2022.mat,-4.68428855148245,-6.0631038303458
fiona 04-20-2022.mat,-4.87969670936579,-6.35619398171908
fiona 05-11-2022.mat,-4.70151421969272,-6.82370027590316
fiona 05-16-2022.mat,-4.70151421969272,-6.82370027590316
fiona 05-20-2022.mat,-4.78210549591758,-6.6349791612015
harley 01-06-2022.mat,-4.70300282716563,-6.80366022454403
