clusterLabels,clusterX,clusterY
aladdin 02-16-2022.mat,-7.53448778556113,-7.6928107393011
aladdin 05-04-2022.mat,-7.66178546002071,-7.50611271961516
aladdin 05-11-2022.mat,-7.66178546002071,-7.50611271961516
aladdin 11-10-2021.mat,-7.66178546002071,-7.50611271961516
alexis 01-26-2022.mat,-8.15917986125861,-9.25218026343443
alexis 03-24-2022.mat,-7.85216930206967,-8.49885212577074
alexis 04-12-2022.mat,-7.57502230607944,-8.50546413962008
alexis 04-13-2022.mat,-8.07333618689075,-7.86179614109648
andrea 11-19-2021.mat,-7.25107208768667,-7.07140163312741
carl 04-19-2022.mat,-7.39608785375588,-8.4994124008364
fiona 01-26-2022.mat,-7.95618277440097,-8.44533947189596
harley 04-03-2022.mat,-7.64422283554331,-8.46157349859883
harley 04-23-2022.mat,-7.18549564914377,-7.2875943650959
jafar 01-14-2022.mat,-7.3455371306468,-7.06297373929632
jafar 12-01-2021.mat,-7.72233490923038,-7.75740331625467
jafar 12-15-2021.mat,-7.72233490923038,-7.75740331625467
jimi 01-05-2022.mat,-7.72233490923038,-7.75740331625467
johnny 02-16-2022.mat,-4.36045870107032,-5.71349051746586
johnny 05-02-2022.mat,-7.58060202757312,-9.0183160530668
johnny 05-04-2022.mat,-7.62608267800912,-8.81375441516101
johnny 05-09-2022.mat,-7.62608267800912,-8.81375441516101
johnny 05-11-2022.mat,-7.62608267800912,-8.81375441516101
johnny 05-13-2022.mat,-7.55835012712379,-9.13933470834245
jr 04-06-2022.mat,-7.3472589277145,-8.47440998621651
juana 04-22-2022.mat,-7.42530438738074,-7.48595236323821
juana 04-23-2022.mat,-7.42530438738074,-7.48595236323821
juana 04-25-2022.mat,-7.42530438738074,-7.48595236323821
juana 04-26-2022.mat,-7.42530438738074,-7.48595236323821
juana 04-27-2022.mat,-7.42530438738074,-7.48595236323821
juana 04-29-2022.mat,-7.42530438738074,-7.48595236323821
kobe 01-21-2022.mat,-8.01597218714541,-7.94399977887076
kobe 02-16-2022.mat,-7.69606042780116,-8.36852785717945
kobe 04-16-2022.mat,-8.78877682494727,-8.38486879208011
kryssia 04-20-2022.mat,-7.89408859581057,-9.26260762618608
kryssia 04-21-2022.mat,-7.18526044142808,-7.78170388648016
kryssia 04-22-2022.mat,-7.18526044142808,-7.78170388648016
kryssia 04-23-2022.mat,-7.18526044142808,-7.78170388648016
kryssia 04-25-2022.mat,-7.18526044142808,-7.78170388648016
kryssia 04-26-2022.mat,-7.18526044142808,-7.78170388648016
kryssia 04-27-2022.mat,-7.25822030647696,-7.55904427510261
kryssia 05-04-2022.mat,-7.35230089662286,-8.17834389795793
mike 04-06-2022.mat,-7.85602791740671,-7.95987562128771
mike 04-13-2022.mat,-7.32443467612375,-6.96635863002446
mike 04-14-2022.mat,-8.12372530008965,-7.91506109038348
mike 04-20-2022.mat,-8.12372530008965,-7.91506109038348
raissa 04-27-2022.mat,-7.00602667769234,-6.9195295430664
raissa 05-02-2022.mat,-7.41104622306847,-8.16647903346765
renata 01-12-2022.mat,-7.51553600910946,-7.327344593032
sarah 01-28-2022.mat,-7.4871688186795,-7.74089402955464
sarah 12-14-2021.mat,-7.22423652677806,-7.45253729166784
scar 01-10-2022.mat,-7.63526310482645,-7.17994941029647
scar 02-04-2022.mat,-7.58232390028049,-7.29780866558479
scar 04-25-2022.mat,-7.09164885991783,-7.55590429025169
shakira 02-15-2022.mat,-8.10623320904087,-8.29044141593109
shakira 04-25-2022.mat,-7.95460189531677,-8.81925928099842
