clusterLabels,clusterX,clusterY
aladdin 01-04-2022.mat,-4.01901577630715,-5.90215981920012
aladdin 01-12-2022.mat,-4.32472062382969,-6.94649826877842
aladdin 01-14-2022.mat,-4.68821946325963,-6.32677628787408
aladdin 01-19-2022.mat,-3.07709495700212,-5.2991486551704
aladdin 01-21-2022.mat,-4.94131413034672,-6.72581009153888
aladdin 01-25-2022.mat,-4.60582011712777,-6.78881043233808
aladdin 01-31-2022.mat,-3.64240195473266,-5.71586625963126
aladdin 02-04-2022.mat,-3.99546345766437,-6.07610861853575
aladdin 03-23-2022.mat,-5.48500308349199,-6.95468592303692
aladdin 04-06-2022.mat,-4.96920366582147,-7.8904623769288
aladdin 04-08-2022.mat,-4.75520323712286,-7.12538432742805
aladdin 04-11-2022.mat,-4.07897400373401,-5.94982382321351
aladdin 04-19-2022.mat,-4.93709231653056,-7.74125074136059
aladdin 04-22-2022.mat,-5.21959547395659,-7.94487546120634
aladdin 04-26-2022.mat,-4.15914481994987,-6.0490954903249
aladdin 05-13-2022.mat,-5.09115322447091,-7.40357642585547
aladdin 05-16-2022.mat,-5.09115322447091,-7.40357642585547
aladdin 05-17-2022.mat,-6.66341751017334,-7.78371704382751
aladdin 11-11-2021.mat,-3.59715049526215,-5.5458720470056
aladdin 11-29-2021.mat,-4.72001511215408,-6.14804506560715
aladdin 12-01-2021.mat,-4.42757372184592,-6.70261648959979
aladdin 12-02-2021.mat,-4.42757372184592,-6.70261648959979
aladdin 12-08-2021.mat,-4.42757372184592,-6.70261648959979
aladdin 12-15-2021.mat,-5.30898472832693,-7.63337299030214
alexis 01-12-2022.mat,-4.05045327187553,-5.95712532559277
alexis 01-13-2022.mat,-6.01119507800461,-7.78313214500473
alexis 01-24-2022.mat,-5.03303436986354,-7.04462181308825
alexis 01-28-2022.mat,-5.608133108904,-8.46368663930081
alexis 04-06-2022.mat,-5.17184777346982,-8.19262732379375
alexis 04-11-2022.mat,-4.1908011017203,-6.45755899558626
alexis 04-12-2022.mat,-7.45630576118062,-9.51200679067386
alexis 04-13-2022.mat,-5.412616287373,-7.31278885125716
alexis 04-15-2022.mat,-4.0083659869705,-5.66002316962681
alexis 04-16-2022.mat,-4.0083659869705,-5.66002316962681
alexis 04-19-2022.mat,-4.0083659869705,-5.66002316962681
alexis 04-22-2022.mat,-4.83499424583324,-6.75378017727848
alexis 04-26-2022.mat,-4.98596058688492,-6.76455803356575
alexis 04-27-2022.mat,-5.44337740758636,-7.26007164717146
alexis 05-04-2022.mat,-5.45384891425034,-6.88223809752178
alexis 05-09-2022.mat,-3.92661968008707,-5.73954381869595
alexis 05-10-2022.mat,-4.60592694386347,-7.12119007934518
alexis 05-12-2022.mat,-4.38016355318048,-6.31945696400916
alexis 05-13-2022.mat,-4.38177546577553,-6.58750508190748
alexis 05-16-2022.mat,-4.38177546577553,-6.58750508190748
alexis 05-17-2022.mat,-4.38177546577553,-6.58750508190748
alexis 05-18-2022.mat,-5.31768977963672,-8.70585505107837
alexis 05-20-2022.mat,-4.35546824160077,-6.57866192999136
alexis 12-09-2021.mat,-5.52481621906443,-6.75613630106787
alexis 12-14-2021.mat,-12.4647816253033,-13.7699970269198
alexis 12-15-2021.mat,-4.92332544939122,-6.79688746509154
andrea 01-12-2022.mat,-4.34137390018423,-6.32216341009875
andrea 01-24-2022.mat,-4.90938394028698,-7.48493888885396
andrea 01-26-2022.mat,-5.20556122702244,-6.97756311529091
andrea 01-28-2022.mat,-5.86993014373731,-8.28961104296078
andrea 03-11-2022.mat,-5.67324763185626,-7.04668770495934
andrea 03-22-2022.mat,-4.71359463555966,-7.1387241676206
andrea 03-24-2022.mat,-4.47657931659502,-5.62304545017532
andrea 04-06-2022.mat,-4.62082367581954,-6.03149806447295
andrea 04-07-2022.mat,-4.34591384877572,-6.21621893370187
andrea 04-11-2022.mat,-4.42393903953854,-6.34554510061312
andrea 04-14-2022.mat,-5.13720643600803,-7.13150066591738
andrea 04-15-2022.mat,-5.50438822912382,-6.88199981769336
andrea 04-19-2022.mat,-5.05561767302938,-7.22408755236957
andrea 04-20-2022.mat,-3.82996179993754,-6.1662451578868
andrea 04-23-2022.mat,-4.74547816181565,-6.43937410730984
andrea 04-29-2022.mat,-5.06077536955362,-6.62013543237925
andrea 05-02-2022.mat,-4.32540356776811,-6.79915851557736
andrea 05-04-2022.mat,-4.75311354833203,-6.72386146749926
andrea 05-13-2022.mat,-4.57584079164028,-6.73874803716825
andrea 05-16-2022.mat,-4.64351249871359,-6.50747598352419
andrea 05-17-2022.mat,-7.08730629487774,-8.58204926023104
andrea 11-10-2021.mat,-4.51239191672544,-6.44252501143046
andrea 11-24-2021.mat,-4.56698592770087,-8.02589160535427
andrea 12-14-2021.mat,-4.55821951177726,-6.73557446496382
carl 01-07-2022.mat,-4.55821951177726,-6.73557446496382
carl 01-14-2022.mat,-4.83228524851879,-7.41192801862517
carl 01-21-2022.mat,-5.29220728445869,-7.53661633864942
carl 01-25-2022.mat,-5.55133367482736,-9.29018668225239
carl 01-27-2022.mat,-4.30132988780513,-7.04256479485826
carl 02-16-2022.mat,-4.07267903231943,-5.88439682618692
carl 04-08-2022.mat,-4.22118978006727,-7.55194263870237
