clusterLabels,clusterX,clusterY
aladdin 04-03-2022.mat,2.3664,-0.15632
aladdin 04-13-2022.mat,4.3517,2.2916
aladdin 04-27-2022.mat,2.6025,-0.22873
aladdin 04-28-2022.mat,2.6025,-0.22873
aladdin 05-09-2022.mat,4.1153,-1.7039
aladdin 05-23-2022.mat,4.011,-0.5557
aladdin 11-17-2021.mat,4.0221,-0.84463
aladdin 11-23-2021.mat,3.6325,-0.45978
alexis 04-23-2022.mat,3.2472,-0.037583
alexis 04-25-2022.mat,3.3252,-0.51286
alexis 04-29-2022.mat,3.3231,-1.3438
alexis 05-11-2022.mat,4.0796,-0.40355
alexis 05-19-2022.mat,3.276,-0.82912
andrea 02-01-2022.mat,3.3583,-0.70895
andrea 04-03-2022.mat,3.6269,-0.57305
andrea 04-12-2022.mat,3.1074,0.21734
andrea 04-25-2022.mat,0.47409,-0.017436
andrea 04-27-2022.mat,3.3824,-0.46262
carl 03-04-2022.mat,3.4068,-1.26
carl 03-21-2022.mat,3.7728,-0.64464
carl 04-03-2022.mat,4.0422,-1.87
fiona 01-12-2022.mat,3.5195,-1.0124
fiona 03-22-2022.mat,3.4864,-0.73567
fiona 04-03-2022.mat,3.8189,2.5482
fiona 04-07-2022.mat,3.6567,-0.67774
fiona 04-14-2022.mat,3.4752,-0.64078
fiona 04-18-2022.mat,3.2823,-0.078957
fiona 04-23-2022.mat,3.6945,-0.87573
fiona 04-26-2022.mat,3.3361,-0.49911
fiona 04-27-2022.mat,3.6923,-0.4361
fiona 05-02-2022.mat,3.7773,0.51716
fiona 05-04-2022.mat,3.3578,-0.44656
fiona 11-10-2021.mat,3.4304,-0.26938
fiona 11-11-2021.mat,3.8982,-0.45829
fiona 12-08-2021.mat,2.7813,-0.2529
harley 01-06-2022.mat,2.7813,-0.2529
harley 03-11-2022.mat,3.0045,-0.47371
harley 03-24-2022.mat,3.7015,-0.44127
harley 04-07-2022.mat,2.1313,-0.092316
harley 04-20-2022.mat,2.542,0.1423
harley 11-22-2021.mat,3.2898,4.5563
harley 12-07-2021.mat,2.0345,-0.32924
jafar 01-12-2022.mat,3.5853,-1.2901
jafar 04-03-2022.mat,1.9107,-0.10045
jafar 04-25-2022.mat,3.9334,-0.80422
jafar 05-05-2022.mat,3.029,-0.41993
jafar 05-16-2022.mat,3.4758,-0.748
jafar 11-30-2021.mat,3.6825,0.44007
jimi 01-17-2022.mat,3.4709,-1.001
jimi 01-21-2022.mat,2.7885,-0.38716
jimi 01-25-2022.mat,3.859,-1.9085
