clusterLabels,clusterX,clusterY
aladdin 04-22-2022.mat,7.518,9.2008
alexis 04-26-2022.mat,7.914,9.2732
alexis 05-04-2022.mat,7.4532,9.2357
andrea 04-29-2022.mat,8.2982,9.156
andrea 11-24-2021.mat,6.0432,9.483
carl 01-21-2022.mat,8.998,4.5916
fiona 01-26-2022.mat,6.9214,7.7685
harley 04-03-2022.mat,7.8929,8.8527
harley 04-08-2022.mat,7.87,9.6254
harley 04-14-2022.mat,7.6457,9.2105
harley 04-23-2022.mat,7.9476,9.2033
harley 04-26-2022.mat,7.6225,8.5189
harley 05-02-2022.mat,7.8792,9.6357
jafar 05-13-2022.mat,6.7954,9.2257
jimi 05-03-2022.mat,7.608,9.2068
jimi 05-04-2022.mat,7.6365,9.2382
johnny 04-15-2022.mat,6.3767,9.8379
jr 04-25-2022.mat,7.8809,9.6234
jr 05-11-2022.mat,8.2121,9.7128
kryssia 04-18-2022.mat,7.0572,8.9218
kryssia 05-03-2022.mat,7.6599,9.2233
mike 05-04-2022.mat,6.2882,9.9803
neftali 01-24-2022.mat,8.8469,8.1758
raissa 04-15-2022.mat,8.0087,9.2421
renata 04-08-2022.mat,8.0031,9.19
sarah 01-28-2022.mat,7.4491,7.3553
sarah 04-25-2022.mat,7.6505,9.2857
sarah 05-12-2022.mat,7.7054,8.9251
sarah 05-13-2022.mat,7.6562,9.2421
scar 05-17-2022.mat,7.3904,9.4251
shakira 04-08-2022.mat,8.1348,9.1922
simba 04-21-2022.mat,7.9077,9.1649
