clusterLabels,clusterX,clusterY
aladdin 02-02-2022.mat,10.6393,9.0385
aladdin 03-04-2022.mat,14.5117,11.0023
aladdin 04-16-2022.mat,12.0021,9.5358
aladdin 05-03-2022.mat,10.7305,8.6153
aladdin 05-04-2022.mat,10.7305,8.6153
alexis 04-08-2022.mat,14.4939,10.5489
alexis 12-06-2021.mat,11.0093,9.2395
carl 03-23-2022.mat,14.4917,10.4029
fiona 04-15-2022.mat,14.085,10.3759
fiona 04-20-2022.mat,14.0849,10.2186
fiona 04-25-2022.mat,13.6178,9.4638
fiona 05-11-2022.mat,14.7812,10.5295
jafar 04-14-2022.mat,11.9993,9.5204
jafar 04-16-2022.mat,11.7098,9.5584
johnny 04-12-2022.mat,14.7795,10.5642
jr 04-16-2022.mat,11.0093,9.2278
kobe 05-06-2022.mat,12.0114,7.6129
kryssia 04-29-2022.mat,13.5174,9.3387
kryssia 05-12-2022.mat,10.0026,8.8454
mike 01-27-2022.mat,12.1254,8.3008
mike 01-31-2022.mat,10.4382,8.9857
mike 04-11-2022.mat,14.1092,10.1947
mike 12-14-2021.mat,11.7242,9.3894
neftali 02-17-2022.mat,9.906,8.8505
raissa 01-13-2022.mat,14.4911,10.8737
raven 05-12-2022.mat,14.6455,10.6011
raven 12-15-2021.mat,11.016,9.1771
renata 01-20-2022.mat,9.4022,8.2684
renata 04-19-2022.mat,14.4914,10.4261
sarah 04-03-2022.mat,13.6149,10.1917
sarah 04-21-2022.mat,13.8784,10.7137
scar 01-19-2022.mat,11.322,7.4481
scar 05-10-2022.mat,13.6046,9.8969
shakira 04-14-2022.mat,14.0839,10.3757
shakira 04-16-2022.mat,13.9523,10.3413
shakira 05-02-2022.mat,13.5678,9.9173
shakira 11-22-2021.mat,9.9541,8.8318
simba 02-04-2022.mat,10.6175,8.9594
simba 11-10-2021.mat,10.721,9.053
simba 11-16-2021.mat,10.721,9.053
simba 11-30-2021.mat,13.9558,10.4176
sully 01-12-2022.mat,10.4827,8.9353
sully 01-19-2022.mat,10.4827,8.9353
sully 04-16-2022.mat,11.7124,9.5556
sully 11-16-2021.mat,16.1816,11.3398
