clusterLabels,clusterX,clusterY
aladdin 12-14-2021.mat,3.3966,4.8517
alexis 01-20-2022.mat,0.85967,-0.034019
alexis 02-01-2022.mat,3.0237,1.7178
andrea 04-22-2022.mat,3.3896,-0.31155
fiona 11-09-2021.mat,5.3085,5.9009
harley 05-03-2022.mat,3.6598,0.0027459
harley 11-11-2021.mat,3.6993,4.6198
harley 12-14-2021.mat,1.0071,5.739
jafar 04-08-2022.mat,3.4947,-0.88892
jafar 04-13-2022.mat,4.4793,3.321
jimi 01-12-2022.mat,2.9404,-0.45471
jimi 04-25-2022.mat,3.9336,-0.80427
jimi 11-10-2021.mat,3.7904,-0.89663
jimi 11-16-2021.mat,3.4281,-0.40481
juana 04-07-2022.mat,4.0132,2.355
juana 05-20-2022.mat,3.7895,2.4685
juana 11-09-2021.mat,4.9987,4.5219
kobe 01-07-2022.mat,3.3604,5.3676
kobe 01-21-2022.mat,3.3467,5.1743
kobe 04-03-2022.mat,4.0047,5.6186
kobe 04-07-2022.mat,3.2711,-0.4997
kobe 11-21-2021.mat,3.8547,-0.35803
kobe 11-23-2021.mat,3.7188,3.6128
mike 02-18-2022.mat,3.4985,5.5529
mike 05-16-2022.mat,1.0938,-0.062358
mike 11-11-2021.mat,3.7025,-0.43548
mike 11-16-2021.mat,3.7025,-0.43548
raissa 05-09-2022.mat,4.1196,2.0887
raissa 05-12-2022.mat,3.7624,5.3918
scar 05-09-2022.mat,3.7992,-0.66042
shakira 04-13-2022.mat,3.6883,2.8518
simba 01-05-2022.mat,4.3133,2.2648
simba 01-07-2022.mat,3.8544,-1.4862
simba 01-11-2022.mat,3.5189,-0.97813
sully 04-25-2022.mat,3.539,-0.54633
sully 11-24-2021.mat,0.7666,-0.024703
sully 11-30-2021.mat,4.09,-0.64965
