clusterLabels,clusterX,clusterY
aladdin 04-16-2022.mat,7.6289,9.1867
aladdin 05-04-2022.mat,7.5614,9.454
alexis 12-06-2021.mat,6.2684,9.8223
andrea 11-11-2021.mat,4.8753,9.9553
carl 03-23-2022.mat,7.167,8.9182
fiona 04-20-2022.mat,7.4369,9.4187
jafar 05-17-2022.mat,7.7271,9.3462
jimi 01-05-2022.mat,8.2928,5.8741
jimi 04-16-2022.mat,7.2488,9.2176
kryssia 03-24-2022.mat,7.5973,9.6228
kryssia 04-29-2022.mat,7.6599,9.2233
mike 01-27-2022.mat,6.9273,8.8816
mike 01-31-2022.mat,6.704,9.097
mike 04-11-2022.mat,3.8938,10.5192
mike 04-16-2022.mat,6.1272,9.7994
mike 12-14-2021.mat,9.3989,3.4185
raissa 04-03-2022.mat,7.4487,8.1611
raven 05-12-2022.mat,7.4182,9.0938
renata 05-02-2022.mat,6.4454,8.5968
renata 05-03-2022.mat,7.5415,9.5888
sarah 04-03-2022.mat,7.5829,9.4733
scar 01-10-2022.mat,8.2632,9.2304
scar 04-16-2022.mat,7.5554,9.2595
shakira 01-28-2022.mat,7.6344,7.4936
simba 02-02-2022.mat,8.6575,8.5267
simba 11-10-2021.mat,5.8811,7.1233
sully 01-19-2022.mat,6.7951,9.6
sully 05-17-2022.mat,6.5772,9.8377
