name_and_cluster,numberOfAppearences
kobe|G4,0
kobe|J1,0
kobe|J2,3
kobe|J3,0
kobe|J4,0
kobe|M1,0
kobe|M2,0
kobe|M3,0
kobe|M4,4
kryssia|A1,0
kryssia|A2,0
kryssia|A3,4
kryssia|D1,0
kryssia|D2,3
kryssia|D3,0
kryssia|G1,0
kryssia|G2,0
kryssia|G3,0
kryssia|G4,0
kryssia|J1,0
kryssia|J2,2
kryssia|J3,0
kryssia|J4,1
kryssia|M1,0
kryssia|M2,2
kryssia|M3,1
kryssia|M4,2
mike|A1,0
mike|A2,3
mike|A3,0
mike|D1,0
mike|D2,2
mike|D3,0
mike|G1,1
mike|G2,0
mike|G3,0
mike|G4,1
mike|J1,0
mike|J2,1
mike|J3,0
mike|J4,2
mike|M1,0
mike|M2,5
mike|M3,1
mike|M4,0
monster|A1,0
monster|A2,0
monster|A3,0
monster|D1,0
monster|D2,0
monster|D3,0
monster|G1,0
monster|G2,0
monster|G3,0
monster|G4,0
monster|J1,0
monster|J2,0
monster|J3,0
monster|J4,0
monster|M1,0
monster|M2,0
monster|M3,0
monster|M4,0
neftali|A1,1
neftali|A2,1
neftali|A3,3
neftali|D1,0
neftali|D2,2
neftali|D3,0
neftali|G1,3
neftali|G2,1
neftali|G3,0
neftali|G4,0
neftali|J1,0
neftali|J2,1
neftali|J3,0
neftali|J4,0
neftali|M1,0
neftali|M2,4
neftali|M3,0
neftali|M4,1
pepper|A1,0
pepper|A2,0
pepper|A3,0
pepper|D1,0
pepper|D2,0
pepper|D3,0
pepper|G1,0
pepper|G2,0
pepper|G3,0
pepper|G4,0
pepper|J1,0
pepper|J2,0
pepper|J3,0
pepper|J4,0
pepper|M1,0
pepper|M2,0
pepper|M3,0
pepper|M4,0
raissa|A1,0
raissa|A2,1
raissa|A3,2
raissa|D1,0
raissa|D2,2
raissa|D3,0
raissa|G1,3
raissa|G2,0
raissa|G3,0
raissa|G4,1
raissa|J1,0
raissa|J2,2
raissa|J3,0
raissa|J4,0
raissa|M1,0
raissa|M2,2
raissa|M3,0
raissa|M4,3
raven|A1,0
raven|A2,1
raven|A3,4
raven|D1,0
raven|D2,3
raven|D3,0
raven|G1,1
raven|G2,1
raven|G3,0
raven|G4,0
raven|J1,0
raven|J2,0
raven|J3,0
raven|J4,1
raven|M1,0
raven|M2,1
raven|M3,0
raven|M4,4
renata|A1,0
renata|A2,1
renata|A3,1
renata|D1,0
renata|D2,2
renata|D3,0
renata|G1,0
renata|G2,1
renata|G3,0
renata|G4,0
renata|J1,1
renata|J2,2
renata|J3,0
renata|J4,0
renata|M1,0
renata|M2,3
renata|M3,1
renata|M4,1
rex|A1,0
rex|A2,0
rex|A3,0
rex|D1,0
rex|D2,0
rex|D3,0
rex|G1,0
rex|G2,0
rex|G3,0
rex|G4,0
rex|J1,0
rex|J2,0
rex|J3,0
rex|J4,0
rex|M1,0
rex|M2,0
rex|M3,0
rex|M4,0
sarah|A1,0
sarah|A2,1
sarah|A3,3
sarah|D1,0
sarah|D2,2
sarah|D3,1
sarah|G1,0
sarah|G2,0
sarah|G3,0
sarah|G4,1
sarah|J1,0
sarah|J2,3
sarah|J3,0
sarah|J4,0
sarah|M1,0
sarah|M2,3
sarah|M3,2
sarah|M4,0
scar|A1,1
scar|A2,4
scar|A3,0
scar|D1,0
scar|D2,3
scar|D3,0
scar|G1,0
scar|G2,0
scar|G3,1
scar|G4,1
scar|J1,0
scar|J2,2
scar|J3,0
scar|J4,1
scar|M1,0
scar|M2,2
scar|M3,3
scar|M4,1
shakira|A1,0
shakira|A2,0
shakira|A3,4
shakira|D1,0
shakira|D2,0
shakira|D3,0
shakira|G1,2
shakira|G2,0
shakira|G3,0
shakira|G4,0
shakira|J1,0
shakira|J2,0
shakira|J3,0
shakira|J4,1
shakira|M1,0
shakira|M2,3
shakira|M3,1
shakira|M4,1
simba|A1,0
simba|A2,0
simba|A3,2
simba|D1,0
simba|D2,0
simba|D3,0
simba|G1,1
simba|G2,0
simba|G3,0
simba|G4,2
simba|J1,0
simba|J2,0
simba|J3,0
simba|J4,1
simba|M1,1
simba|M2,1
simba|M3,0
simba|M4,4
slinky|A1,0
slinky|A2,0
slinky|A3,0
slinky|D1,0
slinky|D2,0
slinky|D3,0
slinky|G1,0
slinky|G2,0
slinky|G3,0
slinky|G4,0
slinky|J1,0
slinky|J2,0
slinky|J3,0
slinky|J4,0
slinky|M1,0
slinky|M2,0
slinky|M3,0
slinky|M4,0
sully|A1,0
sully|A2,1
sully|A3,1
sully|D1,2
sully|D2,0
sully|D3,0
sully|G1,2
sully|G2,1
sully|G3,0
sully|G4,1
sully|J1,0
sully|J2,0
sully|J3,0
sully|J4,1
sully|M1,0
sully|M2,5
