name_and_cluster,numberOfAppearences
kobe|G4,12
kobe|J1,13
kobe|J2,5
kobe|J3,7
kobe|J4,16
kobe|M1,1
kobe|M2,20
kobe|M3,9
kobe|M4,17
kryssia|A1,8
kryssia|A2,12
kryssia|A3,19
kryssia|D1,1
kryssia|D2,19
kryssia|D3,9
kryssia|G1,16
kryssia|G2,9
kryssia|G3,0
kryssia|G4,2
kryssia|J1,19
kryssia|J2,1
kryssia|J3,7
kryssia|J4,10
kryssia|M1,2
kryssia|M2,24
kryssia|M3,2
kryssia|M4,24
mike|A1,8
mike|A2,13
mike|A3,11
mike|D1,7
mike|D2,12
mike|D3,4
mike|G1,20
mike|G2,2
mike|G3,2
mike|G4,4
mike|J1,12
mike|J2,6
mike|J3,8
mike|J4,5
mike|M1,0
mike|M2,28
mike|M3,14
mike|M4,7
monster|A1,0
monster|A2,0
monster|A3,0
monster|D1,0
monster|D2,0
monster|D3,0
monster|G1,0
monster|G2,0
monster|G3,0
monster|G4,0
monster|J1,0
monster|J2,0
monster|J3,0
monster|J4,0
monster|M1,0
monster|M2,2
monster|M3,0
monster|M4,0
neftali|A1,1
neftali|A2,17
neftali|A3,17
neftali|D1,2
neftali|D2,17
neftali|D3,0
neftali|G1,30
neftali|G2,2
neftali|G3,1
neftali|G4,0
neftali|J1,15
neftali|J2,2
neftali|J3,3
neftali|J4,15
neftali|M1,1
neftali|M2,16
neftali|M3,3
neftali|M4,22
pepper|A1,0
pepper|A2,0
pepper|A3,0
pepper|D1,0
pepper|D2,0
pepper|D3,0
pepper|G1,0
pepper|G2,0
pepper|G3,0
pepper|G4,0
pepper|J1,0
pepper|J2,0
pepper|J3,0
pepper|J4,0
pepper|M1,1
pepper|M2,1
pepper|M3,2
pepper|M4,4
raissa|A1,3
raissa|A2,25
raissa|A3,16
raissa|D1,3
raissa|D2,24
raissa|D3,5
raissa|G1,17
raissa|G2,4
raissa|G3,0
raissa|G4,3
raissa|J1,16
raissa|J2,2
raissa|J3,9
raissa|J4,18
raissa|M1,1
raissa|M2,18
raissa|M3,2
raissa|M4,24
raven|A1,5
raven|A2,15
raven|A3,14
raven|D1,4
raven|D2,15
raven|D3,3
raven|G1,18
raven|G2,10
raven|G3,0
raven|G4,1
raven|J1,16
raven|J2,2
raven|J3,3
raven|J4,13
raven|M1,1
raven|M2,13
raven|M3,4
raven|M4,30
renata|A1,7
renata|A2,12
renata|A3,13
renata|D1,0
renata|D2,18
renata|D3,7
renata|G1,18
renata|G2,3
renata|G3,0
renata|G4,2
renata|J1,16
renata|J2,0
renata|J3,1
renata|J4,11
renata|M1,1
renata|M2,22
renata|M3,3
renata|M4,19
rex|A1,0
rex|A2,0
rex|A3,0
rex|D1,0
rex|D2,0
rex|D3,0
rex|G1,0
rex|G2,0
rex|G3,0
rex|G4,0
rex|J1,0
rex|J2,0
rex|J3,0
rex|J4,0
rex|M1,0
rex|M2,4
rex|M3,1
rex|M4,1
sarah|A1,5
sarah|A2,12
sarah|A3,16
sarah|D1,1
sarah|D2,13
sarah|D3,10
sarah|G1,31
sarah|G2,3
sarah|G3,0
sarah|G4,3
sarah|J1,13
sarah|J2,4
sarah|J3,4
sarah|J4,12
sarah|M1,1
sarah|M2,16
sarah|M3,4
sarah|M4,22
scar|A1,10
scar|A2,18
scar|A3,15
scar|D1,3
scar|D2,25
scar|D3,6
scar|G1,20
scar|G2,8
scar|G3,0
scar|G4,7
scar|J1,14
scar|J2,4
scar|J3,4
scar|J4,16
scar|M1,3
scar|M2,18
scar|M3,9
scar|M4,20
shakira|A1,8
shakira|A2,15
shakira|A3,13
shakira|D1,2
shakira|D2,18
shakira|D3,5
shakira|G1,21
shakira|G2,6
